token_pair,fee
USDC.e-WETH,624212.8092004406
USDC-WMATIC,233040.75920258352
ARB-WETH,213886.42722755627
USDC-WETH,191246.82959287896
BUSD-USDT,179111.3872816742
BUSD-WBNB,172860.43052122407
USDT-WETH,140801.7284398785
USDT-WBNB,118394.02324403358
ARB-USDC.e,113310.35813938828
WBTC-WETH,61687.73288766465
DAI-WETH,49580.31885584103
BUSD-USDC,15522.986280402889
DAI-USDT,7522.273088033712
WETH-wstETH,5158.050553271784
DAI-USDC,-797.2362549674519
USDC.e-USDT,-3910.096062508245
USDC-USDT,-4923.149739649478